Image_Name,Brusing_Percentage
image_01.png,17.036172695449242
image_02.png,13.831615120274915
image_03.png,18.367346938775512
image_04.png,14.236509758897819
image_05.png,7.987220447284344
image_06.png,2.222880853586248
image_07.png,7.823029592733666
image_08.png,9.254431699687174
image_09.png,5.864197530864197
image_10.png,27.38043001316367
image_11.png,4.052573932092004
image_12.png,7.424242424242425
image_13.png,0.9887005649717515
image_14.png,0.0
image_15.png,14.651368049426303
image_16.png,7.440476190476191
image_17.png,12.814330003444713
image_18.png,10.208741030658839
image_19.png,12.759833706427887
image_20.png,10.151324085750316
image_21.png,21.236559139784948
image_22.png,3.8980509745127434
image_23.png,0.0
image_24.png,16.223548562126965
image_25.png,2.8019323671497585
image_26.png,2.6730310262529833
image_27.png,3.2448377581120944
image_28.png,3.4782608695652173
image_29.png,2.768729641693811
image_30.png,6.6783831282952555
image_31.png,0.8937960042060988
image_32.png,5.477707006369427
image_33.png,2.8711484593837535
image_34.png,2.898550724637681
image_35.png,0.9687034277198211
image_36.png,4.918032786885246
image_37.png,1.6075388026607538
image_38.png,5.677579776212184
image_39.png,7.083563918096292
image_40.png,1.653363740022805
image_41.png,9.401709401709402
image_42.png,8.682505399568035
image_43.png,6.368754398311048
image_44.png,0.6379585326953748
image_45.png,1.7921146953405016
image_46.png,0.45558086560364464
image_47.png,0.046620046620046623
image_48.png,6.573367260390162
image_49.png,2.8301886792452833
image_50.png,7.957342083675144
image_51.png,8.022922636103152
image_52.png,6.204583566238122
image_53.png,18.63550221099179
mean,7.15
median,6.20
range,27.38
