Image_Name,Brusing_Percentage
image_01.png,18.50443599493029
image_02.png,13.147082990961382
image_03.png,16.951219512195124
image_04.png,14.253187613843352
image_05.png,2.521823472356935
image_06.png,2.4226804123711343
image_07.png,11.93565127140633
image_08.png,12.251655629139073
image_09.png,12.233801540552786
image_10.png,28.13440320962889
image_11.png,1.1827956989247312
image_12.png,6.296296296296296
image_13.png,0.0
image_14.png,0.0
image_15.png,9.715857011915674
image_16.png,11.479289940828401
image_17.png,13.852813852813853
image_18.png,10.379644588045235
image_19.png,12.194127243066884
image_20.png,11.159600997506235
image_21.png,25.593869731800766
image_22.png,4.377104377104377
image_23.png,3.22108345534407
image_24.png,14.339826839826838
image_25.png,1.9521717911176184
image_26.png,2.111225540679712
image_27.png,2.134646962233169
image_28.png,2.5316455696202533
image_29.png,2.637749120750293
image_30.png,7.643312101910828
image_31.png,0.835509138381201
image_32.png,5.143229166666666
image_33.png,2.9806259314456036
image_34.png,2.7586206896551726
image_35.png,0.9052924791086351
image_36.png,4.201216141514649
image_37.png,1.7747858017135865
image_38.png,5.284370801612181
image_39.png,7.236842105263158
image_40.png,2.0895522388059704
image_41.png,9.615384615384617
image_42.png,9.286070893659511
image_43.png,9.253112033195022
image_44.png,0.6351039260969976
image_45.png,1.5596880623875224
image_46.png,0.4378762999452655
image_47.png,0.05387931034482758
image_48.png,5.96401028277635
image_49.png,1.7241379310344827
image_50.png,6.822742474916388
image_51.png,5.4884189325276935
image_52.png,6.306306306306306
image_53.png,17.17557251908397
mean,7.22
median,5.49
range,28.13
